condsFile,readyMSG,jitter,condition,stimuli_left,stimuli_right,target,correct_answer,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,left_stimuli.started,right_stimuli.started,target_stim.started,key_resp.started,left_stimuli.stopped,right_stimuli.stopped,target_stim.stopped,key_resp.stopped,key_resp.keys,key_resp.corr,key_resp.rt,fix_cross.started,fix_cross.stopped,textbox.stopped,session,participant,group,date,expName,psychopyVersion,frameRate,
shapes.xlsx,Comparez les formes,5,shapes,vertical.png,orizontal.png,orizontal.png,2,0,8,8,8,0,3,3,1,,301.9724744580001,301.9724744580001,301.9724744580001,301.9724744580001,306.05643112500024,306.05643112500024,306.05643112500024,306.05643112500024,left,0,1.5982347500000742,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,5,shapes,vertical.png,circle.png,circle.png,2,0,8,8,8,0,4,4,3,,306.4824865000003,306.4824865000003,306.4824865000003,306.4824865000003,310.5756682910003,310.5756682910003,310.5756682910003,310.5756682910003,left,0,1.3420098339995548,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,5,shapes,orizontal.png,circle.png,orizontal.png,1,0,8,8,8,0,5,5,8,,310.9825306250002,310.9825306250002,310.9825306250002,310.9825306250002,314.9716554580002,314.9716554580002,314.9716554580002,314.9716554580002,left,0,1.0916875420000451,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,orizontal.png,circle.png,orizontal.png,1,1,0,9,0,0,0,0,8,319.97784245800017,322.46573304100025,322.46573304100025,322.46573304100025,322.46573304100025,326.5528971250003,326.5528971250003,326.5528971250003,326.5528971250003,left,0,1.6030787090001013,314.98263754100003,319.97784245800017,322.0645352500003,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,circle.png,vertical.png,vertical.png,2,1,0,9,0,0,1,1,5,,326.9557157910001,326.9557157910001,326.9557157910001,326.9557157910001,331.0488833330003,331.0488833330003,331.0488833330003,331.0488833330003,right,0,0.8803131669999402,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,circle.png,orizontal.png,orizontal.png,2,1,0,9,0,0,2,2,7,,331.46542516600016,331.46542516600016,331.46542516600016,331.46542516600016,335.55249179099997,335.55249179099997,335.55249179099997,335.55249179099997,right,0,0.7791071250001096,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,vertical.png,circle.png,circle.png,2,1,0,9,0,0,3,3,3,,335.9559581250003,335.9559581250003,335.9559581250003,335.9559581250003,340.04113837499995,340.04113837499995,340.04113837499995,340.04113837499995,right,0,1.8576510830000643,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,orizontal.png,circle.png,circle.png,2,1,0,9,0,0,4,4,9,,340.4654187910003,340.4654187910003,340.4654187910003,340.4654187910003,344.5540297499999,344.5540297499999,344.5540297499999,344.5540297499999,right,0,0.9943032089997814,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,orizontal.png,vertical.png,vertical.png,2,1,0,9,0,0,5,5,11,,344.95513262500003,344.95513262500003,344.95513262500003,344.95513262500003,348.94961208300015,348.94961208300015,348.94961208300015,348.94961208300015,right,0,1.9285085419999177,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,6,Surprised,M01SU.png,M16SU.png,M16SU.png,2,1,1,10,1,0,0,0,3,351.94858416600005,354.4359054580002,354.4359054580002,354.4359054580002,354.4359054580002,358.4728442080002,358.4728442080002,358.4728442080002,358.4728442080002,right,0,1.3563834999997653,348.9545181250003,351.94858416600005,353.9874131660001,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
